45803,Ivan Itchinos,Salaried,N/A,N/A,75012,957
45804,Ivan Notheridiya,Salaried,N/A,N/A,93479,472
45805,Mustafa Leek,Salaried,N/A,N/A,45828,402
45806,Emma Grate,Salaried,N/A,N/A,32247,452
45807,Annie Versaree,Salaried,N/A,N/A,43872,354
45812,Wiley Waites,Salaried,N/A,N/A,89294,235
45813,Ty R. Leeva,Salaried,N/A,N/A,26453,482
45814,Ed U. Cayshun,Salaried,N/A,N/A,52901,298
45815,Anne T. Dote,Salaried,N/A,N/A,48996,933
45652,Maureen Biologist,Hourly,69,122,N/A,N/A
45653,Teri Dactyl,Hourly,57,152,N/A,N/A
45654,Peg Legge,Hourly,66,132,N/A,N/A
45655,Allie Grater,Hourly,21,102,N/A,N/A
45660,Minnie Van Ryder,Hourly,74,110,N/A,N/A
45661,Lynn OÕLeeum,Hourly,35,104,N/A,N/A
45662,P. Ann OÕRecital,Hourly,55,159,N/A,N/A
45663,Ray OÕSun,Hourly,49,110,N/A,N/A
45668,Rita Book,Hourly,49,132,N/A,N/A
45669,Paige Turner,Hourly,23,114,N/A,N/A
45670,Rhoda Report,Hourly,56,130,N/A,N/A
45671,Augusta Wind,Hourly,48,158,N/A,N/A
45678,I. Missy Ewe,Hourly,41,146,N/A,N/A
45679,Ivana B. Withew,Hourly,69,150,N/A,N/A
45680,Anita Letterback,Hourly,53,106,N/A,N/A
45681,Hope Furaletter,Hourly,69,105,N/A,N/A
45686,Audie Yose,Hourly,57,128,N/A,N/A
45687,Dee End,Hourly,36,142,N/A,N/A
45688,Amanda Hug,Hourly,34,120,N/A,N/A
45689,Ben Dover,Hourly,28,116,N/A,N/A
45694,Staum Clowd,Hourly,78,128,N/A,N/A
45695,Addie Minstra,Hourly,67,117,N/A,N/A
45696,Anne Ortha,Hourly,55,126,N/A,N/A
45697,Dave Allippa,Hourly,32,105,N/A,N/A
45704,Tex Ryta,Hourly,22,138,N/A,N/A
45705,Theresa Green,Hourly,73,144,N/A,N/A
45706,Barry Kade,Hourly,75,149,N/A,N/A
45707,Stan Dupp,Hourly,73,102,N/A,N/A
45712,Anna Domino,Hourly,40,113,N/A,N/A
45713,Clyde Stale,Hourly,63,107,N/A,N/A
45714,Anna Logwatch,Hourly,59,136,N/A,N/A
45715,Anna Littlical,Hourly,22,136,N/A,N/A
45720,Murray Cod,Hourly,71,127,N/A,N/A
45721,Coral Trout,Hourly,22,113,N/A,N/A
45722,Red Salmon,Hourly,79,139,N/A,N/A
45723,Tiger Prawn,Hourly,30,134,N/A,N/A
45730,Chris P. Creem,Hourly,56,152,N/A,N/A
45731,Marsha Mellow,Hourly,77,115,N/A,N/A
45732,Barb Akew,Hourly,19,119,N/A,N/A
45733,Pete Tsar,Hourly,49,131,N/A,N/A
45738,Frank Furter,Hourly,41,122,N/A,N/A
45739,Hugo First,Hourly,61,116,N/A,N/A
45740,Percy Vere,Hourly,33,134,N/A,N/A
45741,Jack Aranda,Hourly,26,133,N/A,N/A
45746,Anne Thurium,Hourly,16,146,N/A,N/A
45747,Cherry Blossom,Hourly,15,113,N/A,N/A
45748,Glad I. Oli,Hourly,18,108,N/A,N/A
45749,Ginger Plant,Hourly,26,138,N/A,N/A
45756,Percy Kewshun,Hourly,46,110,N/A,N/A
45757,Rod Knee,Hourly,20,141,N/A,N/A
45758,Hank R. Cheef,Hourly,43,128,N/A,N/A
45759,Bridget Theriveaquai,Hourly,49,131,N/A,N/A
45764,Joe V. Awl,Hourly,62,153,N/A,N/A
45765,Wes Yabinlatelee,Hourly,41,155,N/A,N/A
45766,Colin Sik,Hourly,64,131,N/A,N/A
45767,Greg Arias,Hourly,49,130,N/A,N/A
45772,Peter Owt,Hourly,27,140,N/A,N/A
45773,Hugh N. Cry,Hourly,56,101,N/A,N/A
45774,Lee Nonmi,Hourly,38,151,N/A,N/A
45775,Lynne Gwafranca,Hourly,20,142,N/A,N/A
45782,Des Ignayshun,Hourly,71,108,N/A,N/A
45783,Mike Rowe-Soft,Hourly,19,116,N/A,N/A
45784,Anne T. Kwayted,Hourly,53,136,N/A,N/A
45785,Wayde N. Thabalanz,Hourly,57,104,N/A,N/A
45790,Mal Ajusted,Hourly,58,119,N/A,N/A
45791,Penny Black,Hourly,51,153,N/A,N/A
45792,Mal Nurrisht,Hourly,63,143,N/A,N/A
45793,Polly Pipe,Hourly,45,126,N/A,N/A
45798,Carmen Goh,Hourly,62,152,N/A,N/A
45799,Carmen Sayid,Hourly,21,104,N/A,N/A
45800,Norma Stitts,Hourly,41,107,N/A,N/A
45801,Ester La Vista,Hourly,56,156,N/A,N/A
45808,Tim Midsaylesman,Hourly,77,123,N/A,N/A
45809,Mary Krismass,Hourly,19,152,N/A,N/A
45810,Tim Too,Hourly,22,112,N/A,N/A
45811,Lana Lynne Creem,Hourly,24,129,N/A,N/A
45816,Claude Strophobia,Hourly,20,138,N/A,N/A
45817,Anne Gloindian,Hourly,66,131,N/A,N/A
